,Total_percent,Total_CI,Total_number,Female_percent,Female_CI,Female_number,Male_percent,Male_CI,Male_number
Total,9.10%,(6.1%-12.1%),413,8.50%,(5.1%-11.8%),198,9.80%,(6.7%-12.8%),211
----Age----,,,,,,,,,
14 or younger,7.30%,(3.0%-11.7%),47,4.10%,(0.3%-7.8%),14,11.50%,(6.0%-17.0%),32
15,8.40%,(2.7%-14.0%),108,9.30%,(1.8%-16.8%),64,7.40%,(3.2%-11.5%),43
16,8.20%,(6.2%-10.2%),95,8.20%,(5.7%-10.7%),50,8.40%,(5.0%-11.9%),45
17,11.50%,(9.4%-13.6%),115,9.70%,(7.7%-11.6%),47,13.10%,(9.9%-16.2%),67
18 or older,10.80%,(4.1%-17.4%),47,11.30%,(2.6%-19.9%),23,9.80%,(2.3%-17.2%),23
----Grade----,,,,,,,,,
Grade 9,7.20%,(2.6%-11.8%),89,7.60%,(1.4%-13.7%),50,6.90%,(3.4%-10.4%),39
Grade 10,8.90%,(4.5%-13.3%),110,8.40%,(3.6%-13.1%),55,9.60%,(5.2%-14.1%),55
Grade 11,8.90%,(5.6%-12.1%),95,7.20%,(3.3%-11.1%),37,10.50%,(7.6%-13.3%),58
Grade 12,11.50%,(8.0%-14.9%),108,11.10%,(8.4%-13.8%),55,11.40%,(5.7%-17.2%),51
----Race/Ethnicity----,,,,,,,,,
American Indian or Alaskan Native**,21.70%,(9.3%-34.1%),14,^,^,^,^,^,^
Asian**,*,*,*,^,^,^,^,^,^
Black or African American**,2.80%,(1.7%-3.9%),7,^,^,^,^,^,^
Hispanic,19.90%,(12.1%-27.8%),34,^,^,^,^,^,^
Native Hawaiian or Other Pacific Islander**,*,*,*,^,^,^,^,^,^
White**,8.70%,(5.5%-11.8%),321,^,^,^,^,^,^
Multiple races**,12.40%,(9.7%-15.0%),16,^,^,^,^,^,^
